topic|name|purpose|template
Design and Architecture|Exploring design patterns|Identify relevant design patterns|Given our requirement to {specific functionality}, which design patterns might be applicable? For each suggested pattern, please explain how it could be implemented in our system and what benefits it would provide.
Design and Architecture|API design|Plan REST API endpoints|We're planning to create a RESTful API for {specific functionality}. Can you help design the endpoints we'll need? For each endpoint, suggest the HTTP method, URL structure, request/response formats, and any authentication requirements.
Design and Architecture|Scalability considerations|Ensure system scalability|As we design our system, we need to ensure it can scale to handle {expected load}. Can you review our current architecture and suggest modifications or additional components we might need to ensure scalability? Please consider both vertical and horizontal scaling strategies.
Code Generation and Refinement|Code generation|Generate high-quality code with best practices|I need to implement {specific functionality} in {programming language}. Key requirements: 1. {Requirement 1} 2. {Requirement 2} 3. {Requirement 3}. Please consider: - Error handling - Edge cases - Performance optimization - Best practices for {language/framework}. Please do not unnecessarily remove any comments or code. Generate the code with clear comments explaining the logic.
Code Generation and Refinement|Explain code|Explain code sections step by step|Can you explain the following part of the code in detail: {paste code section}. Specifically: 1. What is the purpose of this section? 2. How does it work step-by-step? 3. Are there any potential issues or limitations with this approach?
Code Generation and Refinement|Code review|Review and improve code quality|Please review the following code: {paste your code}. Consider: 1. Code quality and adherence to best practices 2. Potential bugs or edge cases 3. Performance optimizations 4. Readability and maintainability 5. Any security concerns. Suggest improvements and explain your reasoning for each suggestion.
Code Generation and Refinement|Algorithm implementation|Implement algorithms in code|Implement a {name of algorithm} in {programming language}. Please include: 1. The main function with clear parameter and return types 2. Helper functions if necessary 3. Time and space complexity analysis 4. Example usage.
Code Generation and Refinement|Class/module creation|Generate reusable OOP components|Create a {class/module} for {specific functionality} in {programming language}. Include: 1. Constructor/initialization 2. Main methods with clear docstrings 3. Any necessary private helper methods 4. Proper encapsulation and adherence to OOP principles.
Code Generation and Refinement|Code optimization|Optimize existing code|Here's a piece of code that needs optimization: {paste code}. Please suggest optimizations to improve its performance. For each suggestion, explain the expected improvement and any trade-offs.
Database Design and Query Optimization|Schema design|Design database schema|I'm designing a database for {describe your application}. The main entities are: {List main entities}. Key requirements: 1. {Requirement 1} 2. {Requirement 2} 3. {Requirement 3}. Please suggest a database schema that includes: 1. Tables and their columns (with appropriate data types) 2. Primary and foreign key relationships 3. Any necessary junction tables 4. Suggested indexes 5. Considerations for scalability. Also, explain the rationale behind your design choices.
Database Design and Query Optimization|Schema refinement|Refine and normalize schema|Given this initial schema: {Paste your schema here}. Please analyze it considering: 1. Normalization 2. Denormalization 3. Indexing strategy 4. Scalability 5. Data integrity. For each suggestion, please explain the pros and cons.
Database Design and Query Optimization|Query optimization|Optimize SQL queries|I need to optimize the following SQL query: {Paste your query here}. The query is currently taking too long. Please: 1. Analyze the query 2. Suggest optimizations (rewriting, indexing, schema changes) 3. Explain the reasoning 4. Provide an estimate of performance improvement.
Database Design and Query Optimization|Index strategy|Suggest indexing strategy|Given the following table structure and common queries: {Paste table structure and sample queries}. Please suggest an optimal indexing strategy. Consider: 1. Which columns to index 2. Single-column vs multi-column 3. Covering indexes 4. Write performance trade-offs.
Database Design and Query Optimization|Data migration|Plan schema migration|I need to migrate data from an old schema to a new one: Old schema: {Paste old schema}. New schema: {Paste new schema}. Please help me create a migration plan: 1. Transformation steps 2. Intermediate tables/views 3. Data integrity checks 4. Verification strategy.
Database Design and Query Optimization|Performance troubleshooting|Troubleshoot slow queries|The following query is performing poorly: {Paste query}. Execution plan: {Paste plan}. Please analyze and suggest improvements: 1. Identify sub-optimal parts 2. Alternative query writing 3. Missing indexes 4. Possible denormalization.
Database Design and Query Optimization|Performance tuning|Comprehensive DB tuning plan|I'm looking to improve overall DB performance. Here's an overview: - DB system - Size - Main tables - Query patterns - Pain points. Please provide: 1. Config parameters 2. Indexing review 3. Query optimization 4. Schema improvements 5. Caching 6. Other relevant suggestions.
Documentation|Comprehensive documentation|Generate full docs for a project|I need to create documentation for {project/component}. Please generate: 1. Overview 2. Installation 3. Configuration 4. API reference 5. Usage examples 6. Troubleshooting 7. FAQ. Consider target audience, prerequisites, pitfalls, best practices.
Documentation|Refine docs|Improve clarity and detail in docs|Please review and improve the following documentation section: {Paste section}. Consider: 1. Clarity 2. Completeness 3. Level of detail 4. Consistency. Suggest improvements and explain reasoning.
Documentation|API documentation|Generate API docs|Generate API documentation for the following endpoint: {Paste endpoint}. Include: 1. URL/method 2. Parameters 3. Request/response formats 4. Status codes 5. Example requests 6. Authentication 7. Rate limits.
Documentation|README|Generate GitHub README|Create a README.md file for my GitHub repository. The project is {brief description}. Include: 1. Title/description 2. Installation 3. Usage 4. Contributing 5. License 6. Badges. Use Markdown formatting and TOC.
Documentation|User guide|Generate user-facing guide|Generate a user guide for {product/feature}. Audience: {describe}. Include: 1. Intro 2. Getting started 3. Features 4. Advanced usage 5. Troubleshooting. Use simple language and step-by-step style.
Documentation|Docstrings/comments|Generate comments/docstrings|Generate appropriate comments and docstrings for the following code: {Paste code}. Follow conventions. Include: 1. Brief description 2. Parameters 3. Return value 4. Exceptions 5. Usage examples.
Documentation|Update docs with code changes|Keep docs in sync with code|I've made the following changes to my code: {Summarize changes}. Please update relevant docs to reflect these. Highlight breaking changes or new features.
Documentation|Periodic review|Review docs periodically|Please review the following documentation: {Paste docs}. Suggest: 1. Sections to add/expand 2. Outdated parts 3. Improvements for clarity/user-friendliness.
Testing, Debugging, and QA|Unit tests|Generate unit tests|I need unit tests for the following function: {Paste function}. Please generate tests for: 1. Happy path 2. Edge cases 3. Errors 4. Boundaries. Provide test code, explain mocks/fixtures, and suggest additional tests.
Testing, Debugging, and QA|Debugging|AI-assisted debugging|I'm encountering the following bug: {Describe bug}. Code: {Paste code}. Please help me debug: 1. Analyze code 2. Debugging strategies 3. Tools/techniques 4. Potential fixes. Also, best practices to avoid similar issues.
Testing, Debugging, and QA|Code review|Continuous improvement reviews|Please review the following code: {Paste code}. Consider: 1. Code style 2. Bugs 3. Performance 4. Security 5. Readability. For each issue: explain, suggest fix, rationale. Suggest refactorings if relevant.
Testing, Debugging, and QA|Integration tests|Generate integration tests|I need integration tests for: {List components}. Suggest tests that: 1. Cover interactions 2. Test errors/edge cases 3. Include setup/teardown. Provide clear scenarios, mocks, and test data.
Testing, Debugging, and QA|Performance tests|Create performance test plan|I need a performance test plan. Key areas: {List}. Please include: 1. KPIs 2. Load scenarios 3. Tools 4. Bottleneck strategies 5. Best practices for results.
Testing, Debugging, and QA|Security tests|Security testing of code|Please review code for vulnerabilities: {Paste code}. Consider: 1. Injection 2. Auth 3. Sensitive data 4. XXE 5. Access control 6. Misconfig 7. XSS. Explain risk and suggest fixes.
Testing, Debugging, and QA|Test data generation|Generate test data|I need test data for the schema: {Paste schema}. Suggest: 1. Value ranges 2. SQL/scripts for normal, edge, invalid cases 3. Referential integrity 4. Special scenarios. Keep dataset manageable but comprehensive.
Security and Optimization|Security audit|Perform code security audit|Please perform a security audit on the following code: {Paste code}. Identify vulnerabilities, explain impact, suggest fix, show code fix, recommend libraries/tools.
Security and Optimization|Performance optimization|Identify performance bottlenecks|Please analyze the following code: {Paste code}. Identify bottlenecks, suggest improvements (time, memory, parallelization, caching). Provide code, explain trade-offs, recommend profiling tools.
Security and Optimization|Best practices update|Stay updated on best practices|Please provide an update on the latest best practices for {language/framework} as of {date}. Focus on: 1. Security enhancements 2. Performance optimizations 3. New features/libraries 4. Deprecated practices. Explain importance and implementation.
Security and Optimization|SQL injection review|Check DB code for SQLi risks|Please review the following DB interaction code for SQL injection: {Paste code}. For each vulnerability: explain exploitation, provide secure alternative, recommend libraries/techniques.
Security and Optimization|Optimize heavy functions|Optimize resource-intensive code|The following function is slow: {Paste code}. Suggest improvements: 1. Time complexity 2. Memory 3. Caching/memoization 4. Parallelization. Explain gains and trade-offs.
Security and Optimization|Frontend security|Review front-end code security|Please review this front-end code: {Paste code}. Consider: 1. XSS 2. Data handling 3. CSRF 4. Secure API comms. Suggest libraries/techniques to improve security.
Version Control and Collaboration|Commit messages|Generate commit messages|I've made the following changes: {Paste diff}. Please create a commit message that: 1. Summarizes changes (<=50 chars) 2. Body wrapped at 72 3. Follows git best practices 4. Includes issue numbers if any.
Version Control and Collaboration|Merge conflict resolution|Resolve merge conflicts|I'm facing this merge conflict: {Paste conflict}. Feature purpose: {Describe}. Please help resolve by: 1. Analyzing both 2. Suggest best merge 3. Provide resolved code 4. Explain reasoning. Advise on side effects.
Version Control and Collaboration|Pull request review|Enhance PR review process|Please review this PR: {Paste diff/summary}. Check: 1. Issues/improvements 2. Standards 3. Missing tests 4. Docs 5. Security/performance concerns. Suggest fixes and explain.
Version Control and Collaboration|.gitignore|Generate .gitignore|I'm starting a new {language/framework} project. Please create a .gitignore that excludes: 1. System/IDE files 2. Build artifacts 3. Secrets. Explain non-obvious entries.
Version Control and Collaboration|Release notes|Draft release notes|We're preparing release {X.Y.Z}. Commits: {Paste}. Please draft release notes: 1. Features 2. Breaking changes + migration 3. Bugfixes/performance 4. Credits. Tone: professional but friendly.
Version Control and Collaboration|Branch naming|Define branch naming strategy|Our team needs a consistent branch naming convention. Suggest a strategy: 1. Work type (feature/bugfix/hotfix) 2. Ticket numbers 3. Concise descriptive. Provide examples and rationale.
